Country of birth of person,Years spent in Australia,Age group,Sex,Long-term health condition (LTHC),Number of people reporting LTHC(s),Population,Age-specific percentage of population reporting LTHC(s),Language used at home,Proficiency in spoken English,Region_class,Subregion_class
India,Not specified,45–64,Persons,Asthma,348.0,11416.0,3.048353189,Malayalam,Very well or well,Southern and Central Asia,Southern Asia
India,Not specified,65 and over,Persons,Asthma,79.0,1099.0,7.188353048,Malayalam,Very well or well,Southern and Central Asia,Southern Asia
India,Not specified,00–44,Persons,Asthma,29.0,2977.0,0.974135035,Malayalam,Not well or Not at all,Southern and Central Asia,Southern Asia
India,Not specified,45–64,Persons,Asthma,20.0,741.0,2.699055331,Malayalam,Not well or Not at all,Southern and Central Asia,Southern Asia
India,Not specified,65 and over,Persons,Asthma,45.0,649.0,6.933744222,Malayalam,Not well or Not at all,Southern and Central Asia,Southern Asia
India,Not specified,00–44,Persons,Asthma,2719.0,61813.0,4.398751072,Tamil,Very well or well,Southern and Central Asia,Southern Asia
India,Not specified,00–44,Male,Asthma,1459.0,31406.0,4.645609119,Tamil,Very well or well,Southern and Central Asia,Southern Asia
India,Not specified,00–44,Female,Asthma,1260.0,30407.0,4.143782682,Tamil,Very well or well,Southern and Central Asia,Southern Asia
India,Not specified,45–64,Persons,Asthma,952.0,17522.0,5.433169729,Tamil,Very well or well,Southern and Central Asia,Southern Asia
India,Not specified,45–64,Male,Asthma,406.0,9627.0,4.217305495,Tamil,Very well or well,Southern and Central Asia,Southern Asia
India,Not specified,45–64,Female,Asthma,546.0,7895.0,6.915769474,Tamil,Very well or well,Southern and Central Asia,Southern Asia
India,Not specified,65 and over,Persons,Asthma,628.0,6863.0,9.150517267,Tamil,Very well or well,Southern and Central Asia,Southern Asia
India,Not specified,65 and over,Male,Asthma,297.0,3780.0,7.857142857,Tamil,Very well or well,Southern and Central Asia,Southern Asia
India,Not specified,65 and over,Female,Asthma,331.0,3083.0,10.73629582,Tamil,Very well or well,Southern and Central Asia,Southern Asia
India,Not specified,00–44,Persons,Asthma,76.0,3533.0,2.151146335,Tamil,Not well or Not at all,Southern and Central Asia,Southern Asia
India,Not specified,00–44,Male,Asthma,42.0,1834.0,2.290076336,Tamil,Not well or Not at all,Southern and Central Asia,Southern Asia
India,Not specified,00–44,Female,Asthma,34.0,1699.0,2.001177163,Tamil,Not well or Not at all,Southern and Central Asia,Southern Asia
India,Not specified,45–64,Persons,Asthma,92.0,1424.0,6.460674157,Tamil,Not well or Not at all,Southern and Central Asia,Southern Asia
India,Not specified,45–64,Male,Asthma,31.0,577.0,5.372616984,Tamil,Not well or Not at all,Southern and Central Asia,Southern Asia
India,Not specified,45–64,Female,Asthma,61.0,847.0,7.20188902,Tamil,Not well or Not at all,Southern and Central Asia,Southern Asia
India,Not specified,65 and over,Persons,Asthma,108.0,1227.0,8.80195599,Tamil,Not well or Not at all,Southern and Central Asia,Southern Asia
India,Not specified,65 and over,Male,Asthma,20.0,279.0,7.168458781,Tamil,Not well or Not at all,Southern and Central Asia,Southern Asia
India,Not specified,65 and over,Female,Asthma,88.0,948.0,9.282700422,Tamil,Not well or Not at all,Southern and Central Asia,Southern Asia
India,Not specified,00–44,Persons,Asthma,973.0,49674.0,1.958771188,Telugu,Very well or well,Southern and Central Asia,Southern Asia
