,Country of birth of person,Years spent in Australia,Age group,Sex,Long-term health condition (LTHC),Number of people reporting LTHC(s),Population,Age-specific percentage of population reporting LTHC(s),Language used at home,Proficiency in spoken English
167,Kiribati,0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Gilbertese,Not specified
168,Kiribati,0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,Gilbertese,Not specified
169,Kiribati,0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Gilbertese,Not specified
170,Kiribati,0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Gilbertese,Not specified
171,Kiribati,More than 10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Gilbertese,Not specified
172,Kiribati,More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Gilbertese,Not specified
173,Kiribati,More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Gilbertese,Not specified
174,Kiribati,More than 10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Gilbertese,Not specified
175,Kiribati,More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Gilbertese,Not specified
176,Kiribati,More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Gilbertese,Not specified
177,Kiribati,More than 10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,Gilbertese,Not specified
178,Kiribati,More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Gilbertese,Not specified
179,Kiribati,More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Gilbertese,Not specified
180,Marshall Islands,0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
181,Marshall Islands,0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
182,Marshall Islands,0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
183,Marshall Islands,0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
184,Marshall Islands,0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
185,Marshall Islands,0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
186,Marshall Islands,0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
187,Marshall Islands,0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
188,Marshall Islands,0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
189,Marshall Islands,More than 10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
190,Marshall Islands,More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
191,Marshall Islands,More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
192,Marshall Islands,More than 10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
193,Marshall Islands,More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
194,Marshall Islands,More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
195,Marshall Islands,More than 10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
196,Marshall Islands,More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
197,Marshall Islands,More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
198,"Micronesia, Federated States of",0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Yapese,Not specified
199,"Micronesia, Federated States of",0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Yapese,Not specified
200,"Micronesia, Federated States of",0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Yapese,Not specified
201,"Micronesia, Federated States of",0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Yapese,Not specified
202,"Micronesia, Federated States of",0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Yapese,Not specified
203,"Micronesia, Federated States of",0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Yapese,Not specified
204,"Micronesia, Federated States of",0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,Yapese,Not specified
205,"Micronesia, Federated States of",0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Yapese,Not specified
206,"Micronesia, Federated States of",0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Yapese,Not specified
207,"Micronesia, Federated States of",More than 10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Yapese,Not specified
208,"Micronesia, Federated States of",More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Yapese,Not specified
209,"Micronesia, Federated States of",More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Yapese,Not specified
210,"Micronesia, Federated States of",More than 10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Yapese,Not specified
211,"Micronesia, Federated States of",More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Yapese,Not specified
212,"Micronesia, Federated States of",More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Yapese,Not specified
213,"Micronesia, Federated States of",More than 10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,Yapese,Not specified
214,"Micronesia, Federated States of",More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Yapese,Not specified
215,"Micronesia, Federated States of",More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Yapese,Not specified
216,Nauru,0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Nauruan,Not specified
217,Nauru,0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Nauruan,Not specified
218,Nauru,0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Nauruan,Not specified
219,Nauru,0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Nauruan,Not specified
220,Nauru,0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Nauruan,Not specified
221,Nauru,0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Nauruan,Not specified
222,Nauru,0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,Nauruan,Not specified
223,Nauru,0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Nauruan,Not specified
224,Nauru,0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Nauruan,Not specified
225,Nauru,More than 10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Nauruan,Not specified
226,Nauru,More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Nauruan,Not specified
227,Nauru,More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Nauruan,Not specified
228,Nauru,More than 10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Nauruan,Not specified
229,Nauru,More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Nauruan,Not specified
230,Nauru,More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Nauruan,Not specified
231,Nauru,More than 10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,Nauruan,Not specified
232,Nauru,More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Nauruan,Not specified
233,Nauru,More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Nauruan,Not specified
234,Northern Mariana Islands,0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Tagalog,Not specified
